"Scientific_Name","Beak.Width","Beak.Depth","Habitat","Trophic.Level"
"Accipiter albogularis",10.6,14.7,"Forest","Carnivore"
"Accipiter badius",8.8,11.6,"Shrubland","Carnivore"
"Accipiter bicolor",9.2,13.5,"Woodland","Carnivore"
"Accipiter brachyurus",8.9,11.9,"Forest","Carnivore"
"Accipiter brevipes",8.7,11.1,"Forest","Carnivore"
"Accipiter butleri",6.6,12,"Forest","Carnivore"
"Accipiter castanilius",8.3,10.9,"Forest","Carnivore"
"Accipiter chilensis",8,11.8,"Woodland","Carnivore"
"Accipiter chionogaster",7.5,9.7,"Forest","Carnivore"
"Accipiter cirrocephalus",7.7,9.6,"Forest","Carnivore"
"Accipiter collaris",8.6,11,"Forest","Carnivore"
"Accipiter cooperii",8.6,13.2,"Woodland","Carnivore"
"Accipiter erythrauchen",8.6,11.2,"Forest","Carnivore"
"Accipiter erythronemius",6.6,8.3,"Forest","Carnivore"
"Accipiter erythropus",7.2,9.6,"Forest","Carnivore"
"Accipiter fasciatus",11.2,15.2,"Forest","Carnivore"
"Accipiter francesiae",8.7,10.7,"Forest","Carnivore"
"Accipiter gentilis",11.6,18,"Forest","Carnivore"
"Accipiter griseiceps",8.8,12.4,"Forest","Carnivore"
"Accipiter gularis",6.6,9.1,"Forest","Carnivore"
"Accipiter gundlachi",8.3,16.3,"Forest","Carnivore"
"Accipiter haplochrous",9.6,13.2,"Forest","Carnivore"
"Accipiter henicogrammus",10,13.6,"Forest","Carnivore"
"Accipiter henstii",11.8,17.2,"Forest","Carnivore"
"Accipiter imitator",9.1,12.2,"Forest","Carnivore"
"Accipiter luteoschistaceus",7.8,11.9,"Forest","Carnivore"
"Accipiter madagascariensis",7.4,9.4,"Forest","Carnivore"
"Accipiter melanochlamys",11,13.9,"Forest","Carnivore"
"Accipiter melanoleucus",10.3,16.3,"Forest","Carnivore"
"Accipiter meyerianus",12.6,18.6,"Forest","Carnivore"
"Accipiter minullus",6.6,8.8,"Forest","Carnivore"
"Accipiter nanus",7.6,10.1,"Forest","Carnivore"
"Accipiter nisus",8.4,10,"Forest","Carnivore"
"Accipiter novaehollandiae",10.6,15.3,"Forest","Carnivore"
"Accipiter ovampensis",7.5,10.3,"Shrubland","Carnivore"
"Accipiter poliocephalus",10.1,13.7,"Forest","Carnivore"
"Accipiter poliogaster",8,13.2,"Forest","Carnivore"
"Accipiter princeps",13.8,17.8,"Forest","Carnivore"
"Accipiter rhodogaster",7.9,10.8,"Forest","Carnivore"
"Accipiter rufitorques",10.3,13.7,"Forest","Carnivore"
"Accipiter rufiventris",7.8,10,"Forest","Carnivore"
"Accipiter soloensis",8.6,9.7,"Forest","Carnivore"
"Accipiter striatus",8.7,10.4,"Forest","Carnivore"
"Accipiter superciliosus",6.7,10.4,"Forest","Carnivore"
"Accipiter tachiro",9.8,12.3,"Forest","Carnivore"
"Accipiter toussenelii",9.2,11.9,"Forest","Carnivore"
"Accipiter trinotatus",8.6,11.2,"Forest","Carnivore"
"Accipiter trivirgatus",10.5,14.1,"Forest","Carnivore"
"Accipiter ventralis",6.5,9.3,"Forest","Carnivore"
"Accipiter virgatus",7.6,10.2,"Forest","Carnivore"
"Aegypius monachus",27.9,39.8,"Forest","Scavenger"
"Aquila adalberti",21.1,31,"Woodland","Carnivore"
"Aquila africanus",12.8,20.4,"Woodland","Carnivore"
"Aquila audax",19.6,31.2,"Woodland","Carnivore"
"Aquila chrysaetos",18.5,28.4,"Grassland","Carnivore"
"Aquila clanga",15.6,23.2,"Wetland","Carnivore"
"Aquila fasciatus",16.2,23.7,"Rock","Carnivore"
"Aquila gurneyi",16.6,21.9,"Forest","Carnivore"
"Aquila hastata",14,18.9,"Woodland","Carnivore"
"Aquila heliaca",19.8,28.4,"Woodland","Carnivore"
"Aquila nipalensis",17.7,25.2,"Grassland","Carnivore"
"Aquila pomarina",13.4,19.5,"Forest","Carnivore"
"Aquila rapax",16.8,24.3,"Shrubland","Carnivore"
"Aquila verreauxii",18.3,27.6,"Rock","Carnivore"
"Aquila wahlbergi",12.1,17.4,"Shrubland","Carnivore"
"Aviceda cuculoides",10.6,13.9,"Forest","Carnivore"
"Aviceda jerdoni",12.9,15.9,"Forest","Carnivore"
"Aviceda leuphotes",10.2,12.5,"Forest","Carnivore"
"Aviceda madagascariensis",11.6,16.2,"Forest","Carnivore"
"Aviceda subcristata",11.6,14.7,"Forest","Carnivore"
"Busarellus nigricollis",12.5,17.6,"Forest","Carnivore"
"Butastur indicus",10.4,14.5,"Woodland","Carnivore"
"Butastur liventer",10.5,14,"Woodland","Carnivore"
"Butastur rufipennis",10.3,12.3,"Woodland","Carnivore"
"Butastur teesa",10.7,13.8,"Woodland","Carnivore"
"Buteo albicaudatus",13.8,16.4,"Grassland","Carnivore"
"Buteo albigula",11.4,15.2,"Forest","Carnivore"
"Buteo albonotatus",12.7,16.9,"Forest","Carnivore"
"Buteo archeri",13,18.5,"Woodland","Carnivore"
"Buteo augur",13.7,19.3,"Woodland","Carnivore"
"Buteo auguralis",11.2,15.6,"Forest","Carnivore"
"Buteo brachypterus",11.5,16.4,"Forest","Carnivore"
"Buteo brachyurus",10.4,14.9,"Forest","Carnivore"
"Buteo buteo",12.5,16.6,"Grassland","Carnivore"
"Buteo galapagoensis",13.9,19.3,"Woodland","Carnivore"
"Buteo hemilasius",14.7,18.8,"Grassland","Carnivore"
"Buteo jamaicensis",14.4,20.2,"Woodland","Carnivore"
"Buteo lagopus",11.7,15.9,"Grassland","Carnivore"
"Buteo leucorrhous",9.8,14.2,"Forest","Carnivore"
"Buteo lineatus",11.8,16.3,"Woodland","Carnivore"
"Buteo magnirostris",10.4,13.4,"Forest","Carnivore"
"Buteo nitidus",11.3,15.9,"Forest","Carnivore"
"Buteo oreophilus",11.4,15.2,"Forest","Carnivore"
"Buteo platypterus",11.1,14.4,"Forest","Carnivore"
"Buteo polyosoma",13,18.3,"Shrubland","Carnivore"
"Buteo regalis",18.3,20.2,"Grassland","Carnivore"
"Buteo ridgwayi",9.8,14.2,"Forest","Carnivore"
"Buteo rufinus",14,19.8,"Grassland","Carnivore"
"Buteo rufofuscus",13.4,17.9,"Grassland","Carnivore"
"Buteo solitarius",13.2,15.9,"Forest","Carnivore"
"Buteo swainsoni",13.6,16.6,"Grassland","Carnivore"
"Buteo ventralis",13,19,"Forest","Carnivore"
"Buteogallus aequinoctialis",11.2,16,"Woodland","Carnivore"
"Buteogallus anthracinus",12.9,17.5,"Woodland","Carnivore"
"Buteogallus gundlachii",12.3,17.3,"Woodland","Carnivore"
"Buteogallus meridionalis",11.6,18.1,"Grassland","Carnivore"
"Buteogallus urubitinga",14.6,21.9,"Woodland","Carnivore"
"Chelictinia riocourii",8.6,9.1,"Shrubland","Carnivore"
"Chondrohierax uncinatus",12.4,18.4,"Forest","Carnivore"
"Chondrohierax wilsonii",11.8,20.6,"Forest","Carnivore"
"Circaetus beaudouini",15.1,22.7,"Woodland","Carnivore"
"Circaetus cinerascens",13.5,21.7,"Forest","Carnivore"
"Circaetus cinereus",15.8,28.6,"Shrubland","Carnivore"
"Circaetus fasciolatus",13.9,23,"Woodland","Carnivore"
"Circaetus gallicus",15.5,24.6,"Woodland","Carnivore"
"Circaetus pectoralis",14.6,23.1,"Woodland","Carnivore"
"Circus aeruginosus",11.9,16.2,"Wetland","Carnivore"
"Circus approximans",11.9,16.4,"Wetland","Carnivore"
"Circus assimilis",11.2,16.2,"Grassland","Carnivore"
"Circus buffoni",12.7,16.6,"Grassland","Carnivore"
"Circus cinereus",9.3,12.9,"Grassland","Carnivore"
"Circus cyaneus",9.9,13.1,"Grassland","Carnivore"
"Circus macrosceles",11.6,16.1,"Grassland","Carnivore"
"Circus macrourus",9.7,12.7,"Grassland","Carnivore"
"Circus maillardi",11.1,16.6,"Forest","Carnivore"
"Circus maurus",10.6,13.5,"Shrubland","Carnivore"
"Circus melanoleucos",9.4,13.1,"Grassland","Carnivore"
"Circus pygargus",8.6,11.2,"Grassland","Carnivore"
"Circus ranivorus",11.1,14.1,"Wetland","Carnivore"
"Circus spilonotus",11.9,15.1,"Wetland","Carnivore"
"Dryotriorchis spectabilis",13,21.3,"Forest","Carnivore"
"Elanoides forficatus",10.2,12.3,"Forest","Carnivore"
"Elanus axillaris",9,11.4,"Grassland","Carnivore"
"Elanus caeruleus",9.2,11.3,"Grassland","Carnivore"
"Elanus leucurus",8.8,10.9,"Human Modified","Carnivore"
"Elanus scriptus",11.8,12,"Grassland","Carnivore"
"Erythrotriorchis buergersi",12.8,18.2,"Forest","Carnivore"
"Erythrotriorchis radiatus",11.9,17.4,"Forest","Carnivore"
"Eutriorchis astur",11.6,19.5,"Forest","Carnivore"
"Gampsonyx swainsonii",7.1,8.4,"Forest","Carnivore"
"Geranoaetus melanoleucus",15.4,23,"Shrubland","Carnivore"
"Geranospiza caerulescens",9.6,12.9,"Woodland","Carnivore"
"Gypaetus barbatus",20.8,28.1,"Rock","Scavenger"
"Gypohierax angolensis",14.1,23.3,"Forest","Herbivore"
"Gyps africanus",20.5,30.5,"Shrubland","Scavenger"
"Gyps bengalensis",22.7,32.5,"Grassland","Scavenger"
"Gyps coprotheres",24.9,36.5,"Grassland","Scavenger"
"Gyps fulvus",23.8,33.8,"Grassland","Scavenger"
"Gyps himalayensis",23.5,34,"Rock","Scavenger"
"Gyps indicus",20.5,29.7,"Grassland","Scavenger"
"Gyps rueppellii",23,32.5,"Grassland","Scavenger"
"Gyps tenuirostris",20,29.1,"Woodland","Scavenger"
"Haliaeetus albicilla",22.9,33.9,"Rock","Carnivore"
"Haliaeetus leucocephalus",24,34.1,"Wetland","Carnivore"
"Haliaeetus leucogaster",18.5,24.9,"Coastal","Carnivore"
"Haliaeetus leucoryphus",19.3,28.3,"Wetland","Carnivore"
"Haliaeetus pelagicus",28.9,47,"Wetland","Carnivore"
"Haliaeetus sanfordi",18.6,26.9,"Forest","Carnivore"
"Haliaeetus vocifer",16.8,25.1,"Wetland","Carnivore"
"Haliaeetus vociferoides",16.6,25.1,"Woodland","Carnivore"
"Haliastur indus",12.9,17,"Coastal","Carnivore"
"Haliastur sphenurus",13.1,18.2,"Wetland","Carnivore"
"Hamirostra melanosternon",12.7,16.3,"Woodland","Carnivore"
"Harpagus bidentatus",11.3,13.5,"Forest","Carnivore"
"Harpagus diodon",10.7,13.5,"Forest","Carnivore"
"Harpia harpyja",17.2,36.4,"Forest","Carnivore"
"Harpyhaliaetus coronatus",15.8,29.7,"Shrubland","Carnivore"
"Harpyhaliaetus solitarius",18.7,28,"Forest","Carnivore"
"Harpyopsis novaeguineae",18.2,33.2,"Forest","Carnivore"
"Helicolestes hamatus",10.9,11.6,"Forest","Carnivore"
"Henicopernis infuscatus",10.1,15.3,"Forest","Carnivore"
"Henicopernis longicauda",11.2,14.3,"Forest","Carnivore"
"Hieraaetus ayresii",11.7,17.8,"Woodland","Carnivore"
"Hieraaetus morphnoides",10.9,18.1,"Forest","Carnivore"
"Hieraaetus pennatus",10.1,17,"Forest","Carnivore"
"Hieraaetus spilogaster",14.4,22.6,"Grassland","Carnivore"
"Hieraaetus weiskei",10,17,"Forest","Carnivore"
"Ichthyophaga humilis",13.6,18.6,"Wetland","Carnivore"
"Ichthyophaga ichthyaetus",16.8,25.7,"Woodland","Carnivore"
"Ictinaetus malayensis",13.7,18.6,"Forest","Carnivore"
"Ictinia mississippiensis",11,12.3,"Woodland","Carnivore"
"Ictinia plumbea",10.8,13.4,"Forest","Carnivore"
"Kaupifalco monogrammicus",10.1,12.8,"Woodland","Carnivore"
"Leptodon cayanensis",11.5,16,"Forest","Carnivore"
"Leptodon forbesi",12.2,17.4,"Forest","Carnivore"
"Leucopternis albicollis",14.2,19.6,"Forest","Carnivore"
"Leucopternis kuhli",11.4,15,"Forest","Carnivore"
"Leucopternis lacernulatus",11.7,15.5,"Forest","Carnivore"
"Leucopternis melanops",11.1,15.3,"Forest","Carnivore"
"Leucopternis occidentalis",12.4,18.5,"Forest","Carnivore"
"Leucopternis plumbeus",11.2,16.7,"Forest","Carnivore"
"Leucopternis polionotus",12.8,19.7,"Forest","Carnivore"
"Leucopternis princeps",13.8,20.4,"Forest","Carnivore"
"Leucopternis schistaceus",12.6,18.1,"Forest","Carnivore"
"Leucopternis semiplumbeus",9.7,14.9,"Forest","Carnivore"
"Lophaetus occipitalis",11.1,17.4,"Forest","Carnivore"
"Lophoictinia isura",15.1,18.6,"Forest","Carnivore"
"Lophotriorchis kienerii",11.9,17.2,"Forest","Carnivore"
"Macheiramphus alcinus",9,12.7,"Forest","Carnivore"
"Megatriorchis doriae",11.6,16.7,"Forest","Carnivore"
"Melierax canorus",11.1,23.8,"Shrubland","Carnivore"
"Melierax gabar",7.8,11,"Grassland","Carnivore"
"Melierax metabates",11,17.5,"Shrubland","Carnivore"
"Melierax poliopterus",12.1,23.6,"Shrubland","Carnivore"
"Milvus migrans",12.9,16.5,"Woodland","Omnivore"
"Milvus milvus",13.2,18.7,"Shrubland","Omnivore"
"Morphnus guianensis",14.6,22.8,"Forest","Carnivore"
"Necrosyrtes monachus",13.6,15.2,"Shrubland","Scavenger"
"Neophron percnopterus",10.4,13.5,"Grassland","Omnivore"
"Nisaetus alboniger",12.9,20.3,"Forest","Carnivore"
