"Location"	"Year"	"Common_Name"	"Count"	"Flags"
"Guelph"	2019	"American Black Duck"	30	NA
"Guelph"	2019	"American Crow"	398	NA
"Guelph"	2019	"American Kestrel"	1	NA
"Guelph"	2019	"American Robin"	78	NA
"Guelph"	2019	"Bald Eagle"	10	"HC"
"Guelph"	2019	"Belted Kingfisher"	2	NA
"Guelph"	2019	"Blue Jay"	70	NA
"Guelph"	2019	"Brown Creeper"	16	NA
"Guelph"	2019	"Bufflehead"	5	NA
"Guelph"	2019	"Canada Goose"	6343	"HC"
"Guelph"	2019	"Cedar Waxwing"	84	NA
"Guelph"	2019	"Common Goldeneye"	11	NA
"Guelph"	2019	"Common Merganser"	63	NA
"Guelph"	2019	"Common Raven"	33	"HC"
"Guelph"	2019	"Common Yellowthroat"	1	"US"
"Guelph"	2019	"Cooper's Hawk"	5	NA
"Guelph"	2019	"Dark-eyed Junco"	355	NA
"Guelph"	2019	"Downy Woodpecker"	57	NA
"Guelph"	2019	"Eastern Screech-Owl"	3	NA
"Guelph"	2019	"European Starling"	1062	NA
"Guelph"	2019	"Golden-crowned Kinglet"	31	NA
"Guelph"	2019	"Great Black-backed Gull"	2	NA
"Guelph"	2019	"Great Horned Owl"	2	NA
"Guelph"	2019	"Green-winged Teal"	3	NA
"Guelph"	2019	"Hairy Woodpecker"	17	NA
"Guelph"	2019	"Herring Gull"	51	NA
"Guelph"	2019	"Hooded Merganser"	6	NA
"Guelph"	2019	"Horned Lark"	8	NA
"Guelph"	2019	"House Sparrow"	126	NA
"Guelph"	2019	"Mallard"	1567	NA
"Guelph"	2019	"Merlin"	1	NA
"Guelph"	2019	"Mourning Dove"	166	NA
"Guelph"	2019	"Mute Swan"	4	NA
"Guelph"	2019	"Northern Cardinal"	91	NA
"Guelph"	2019	"Northern Goshawk"	2	NA
"Guelph"	2019	"Northern Mockingbird"	1	NA
"Guelph"	2019	"Northern Shrike"	1	NA
"Guelph"	2019	"Pileated Woodpecker"	5	NA
"Guelph"	2019	"Red-bellied Woodpecker"	13	NA
"Guelph"	2019	"Red-breasted Nuthatch"	25	NA
"Guelph"	2019	"Red-tailed Hawk"	62	NA
"Guelph"	2019	"Ring-billed Gull"	265	NA
"Guelph"	2019	"Ruffed Grouse"	4	NA
"Guelph"	2019	"Sharp-shinned Hawk"	1	NA
"Guelph"	2019	"Snow Bunting"	29	NA
"Guelph"	2019	"Song Sparrow"	7	NA
"Guelph"	2019	"Swamp Sparrow"	4	NA
"Guelph"	2019	"Trumpeter Swan"	4	NA
"Guelph"	2019	"White-breasted Nuthatch"	43	NA
"Guelph"	2019	"White-throated Sparrow"	7	NA
"Guelph"	2019	"Wild Turkey"	75	NA
"Kingston"	2019	"American Black Duck"	60	NA
"Kingston"	2019	"American Crow"	809	"HC"
"Kingston"	2019	"American Kestrel"	1	"LC"
"Kingston"	2019	"American Robin"	150	NA
"Kingston"	2019	"American Wigeon"	1	NA
"Kingston"	2019	"Bald Eagle"	18	NA
"Kingston"	2019	"Barred Owl"	1	NA
"Kingston"	2019	"Belted Kingfisher"	2	NA
"Kingston"	2019	"Blue Jay"	245	NA
"Kingston"	2019	"Brown Creeper"	7	NA
"Kingston"	2019	"Bufflehead"	150	NA
"Kingston"	2019	"Canada Goose"	9674	NA
"Kingston"	2019	"Cedar Waxwing"	39	NA
"Kingston"	2019	"Common Goldeneye"	213	"LC"
"Kingston"	2019	"Common Grackle"	1	NA
"Kingston"	2019	"Common Loon"	2	NA
"Kingston"	2019	"Common Merganser"	198	NA
"Kingston"	2019	"Common Raven"	24	NA
"Kingston"	2019	"Cooper's Hawk"	2	NA
"Kingston"	2019	"Downy Woodpecker"	83	NA
"Kingston"	2019	"Eastern Screech-Owl"	3	NA
"Kingston"	2019	"European Starling"	2459	NA
"Kingston"	2019	"Gadwall"	78	NA
"Kingston"	2019	"Golden-crowned Kinglet"	12	NA
"Kingston"	2019	"Great Black-backed Gull"	13	NA
"Kingston"	2019	"Great Horned Owl"	1	"LC"
"Kingston"	2019	"Greater Scaup"	2493	NA
"Kingston"	2019	"Hairy Woodpecker"	22	NA
"Kingston"	2019	"Hermit Thrush"	1	NA
"Kingston"	2019	"Herring Gull"	222	NA
"Kingston"	2019	"Hooded Merganser"	31	NA
"Kingston"	2019	"House Sparrow"	111	"LC"
"Kingston"	2019	"Iceland Gull"	1	NA
"Kingston"	2019	"Long-tailed Duck"	456	NA
"Kingston"	2019	"Mallard"	2967	NA
"Kingston"	2019	"Merlin"	4	"HC"
"Kingston"	2019	"Mourning Dove"	359	NA
"Kingston"	2019	"Mute Swan"	349	"HC"
"Kingston"	2019	"Northern Cardinal"	98	NA
"Kingston"	2019	"Northern Harrier"	3	NA
"Kingston"	2019	"Northern Mockingbird"	2	"US, HC"
"Kingston"	2019	"Pileated Woodpecker"	1	"LC"
"Kingston"	2019	"Red-bellied Woodpecker"	12	NA
"Kingston"	2019	"Red-breasted Merganser"	214	NA
"Kingston"	2019	"Red-breasted Nuthatch"	11	NA
"Kingston"	2019	"Red-tailed Hawk"	18	NA
"Kingston"	2019	"Red-winged Blackbird"	2	NA
"Kingston"	2019	"Redhead"	112	NA
"Kingston"	2019	"Ring-billed Gull"	213	NA
"Kingston"	2019	"Ring-necked Duck"	89	NA
"Kingston"	2019	"Ruffed Grouse"	2	NA
"Kingston"	2019	"Sharp-shinned Hawk"	1	NA
"Kingston"	2019	"Snow Bunting"	40	NA
"Kingston"	2019	"Song Sparrow"	7	NA
"Kingston"	2019	"Swamp Sparrow"	1	"LC"
"Kingston"	2019	"Tundra Swan"	109	"LC"
"Kingston"	2019	"White-breasted Nuthatch"	92	NA
"Kingston"	2019	"White-throated Sparrow"	9	NA
"Kingston"	2019	"White-winged Scoter"	10	NA
"Kingston"	2019	"Wild Turkey"	37	NA
"Kawartha"	2019	"American Crow"	126	NA
"Kawartha"	2019	"American Robin"	32	NA
"Kawartha"	2019	"Bald Eagle"	6	NA
"Kawartha"	2019	"Barred Owl"	2	NA
"Kawartha"	2019	"Blue Jay"	388	NA
"Kawartha"	2019	"Brown Creeper"	6	NA
"Kawartha"	2019	"Canada Goose"	12	NA
"Kawartha"	2019	"Cedar Waxwing"	67	NA
"Kawartha"	2019	"Common Goldeneye"	48	NA
"Kawartha"	2019	"Common Merganser"	12	NA
"Kawartha"	2019	"Common Raven"	73	NA
"Kawartha"	2019	"Downy Woodpecker"	25	NA
"Kawartha"	2019	"European Starling"	321	NA
"Kawartha"	2019	"Golden-crowned Kinglet"	9	NA
"Kawartha"	2019	"Gray Jay"	3	NA
"Kawartha"	2019	"Hairy Woodpecker"	44	NA
"Kawartha"	2019	"House Sparrow"	5	NA
"Kawartha"	2019	"Lesser Scaup"	2	NA
"Kawartha"	2019	"Mallard"	35	NA
"Kawartha"	2019	"Mourning Dove"	32	NA
"Kawartha"	2019	"Northern Cardinal"	12	NA
"Kawartha"	2019	"Northern Shrike"	2	NA
"Kawartha"	2019	"Pileated Woodpecker"	10	NA
"Kawartha"	2019	"Red-bellied Woodpecker"	3	NA
"Kawartha"	2019	"Red-breasted Nuthatch"	31	NA
"Kawartha"	2019	"Red-tailed Hawk"	7	NA
"Kawartha"	2019	"Rough-legged Hawk"	1	NA
"Kawartha"	2019	"Ruffed Grouse"	8	NA
"Kawartha"	2019	"Snow Bunting"	267	NA
"Kawartha"	2019	"Trumpeter Swan"	60	"HC"
"Kawartha"	2019	"White-breasted Nuthatch"	96	NA
"Kawartha"	2019	"White-winged Crossbill"	6	NA
"Kawartha"	2019	"Wild Turkey"	112	NA
"London"	2019	"American Black Duck"	35	NA
"London"	2019	"American Crow"	218	NA
"London"	2019	"American Kestrel"	4	NA
"London"	2019	"American Robin"	160	NA
"London"	2019	"Bald Eagle"	17	NA
"London"	2019	"Belted Kingfisher"	11	NA
"London"	2019	"Blue Jay"	262	NA
"London"	2019	"Brown Creeper"	32	NA
"London"	2019	"Brown-headed Cowbird"	42	NA
"London"	2019	"Bufflehead"	7	NA
"London"	2019	"Cackling Goose"	13	"US, HC"
"London"	2019	"Canada Goose"	4550	NA
"London"	2019	"Carolina Wren"	32	NA
"London"	2019	"Cedar Waxwing"	31	NA
"London"	2019	"Common Goldeneye"	23	NA
"London"	2019	"Common Grackle"	1	NA
"London"	2019	"Common Merganser"	97	NA
"London"	2019	"Cooper's Hawk"	6	NA
"London"	2019	"Dark-eyed Junco"	549	NA
"London"	2019	"Downy Woodpecker"	173	NA
"London"	2019	"Eastern Bluebird"	22	"HC"
"London"	2019	"Eastern Screech-Owl"	9	NA
"London"	2019	"European Starling"	896	NA
"London"	2019	"Glaucous Gull"	2	NA
"London"	2019	"Golden-crowned Kinglet"	48	NA
"London"	2019	"Great Black-backed Gull"	21	NA
"London"	2019	"Great Horned Owl"	12	NA
"London"	2019	"Greater White-fronted Goose"	3	"US, HC"
"London"	2019	"Green-winged Teal"	1	"US"
"London"	2019	"Hairy Woodpecker"	30	NA
"London"	2019	"Herring Gull"	2097	NA
"London"	2019	"Hooded Merganser"	23	NA
"London"	2019	"House Sparrow"	787	NA
"London"	2019	"House Wren"	1	"US"
"London"	2019	"Iceland Gull"	2	NA
"London"	2019	"Lesser Black-backed Gull"	2	NA
"London"	2019	"Mallard"	2083	NA
"London"	2019	"Merlin"	5	NA
"London"	2019	"Mourning Dove"	654	NA
"London"	2019	"Mute Swan"	12	"HC"
"London"	2019	"Northern Cardinal"	536	NA
"London"	2019	"Northern Flicker"	9	NA
"London"	2019	"Northern Shrike"	1	NA
"London"	2019	"Pileated Woodpecker"	2	NA
"London"	2019	"Red-bellied Woodpecker"	109	NA
"London"	2019	"Red-breasted Merganser"	1	NA
"London"	2019	"Red-breasted Nuthatch"	41	NA
"London"	2019	"Red-tailed Hawk"	47	NA
"London"	2019	"Red-winged Blackbird"	1	NA
"London"	2019	"Redhead"	2	NA
"London"	2019	"Ring-billed Gull"	235	NA
"London"	2019	"Rose-breasted Grosbeak"	1	"US"
"London"	2019	"Rough-legged Hawk"	3	NA
"London"	2019	"Ruby-crowned Kinglet"	6	NA
"London"	2019	"Ruddy Duck"	2	NA
"London"	2019	"Sandhill Crane"	2	"US, HC"
"London"	2019	"Sharp-shinned Hawk"	5	NA
"London"	2019	"Slaty-backed Gull"	1	"US"
"London"	2019	"Snow Bunting"	3	NA
"London"	2019	"Song Sparrow"	39	NA
"London"	2019	"Swamp Sparrow"	4	NA
"London"	2019	"White-breasted Nuthatch"	120	NA
"London"	2019	"White-crowned Sparrow"	1	NA
"London"	2019	"White-throated Sparrow"	15	NA
"London"	2019	"Wild Turkey"	134	NA
"London"	2019	"Yellow-bellied Sapsucker"	1	NA
"Peterborough"	2019	"American Black Duck"	10	NA
"Peterborough"	2019	"American Crow"	956	"HC"
"Peterborough"	2019	"American Kestrel"	1	"LC"
"Peterborough"	2019	"American Robin"	143	NA
"Peterborough"	2019	"Bald Eagle"	9	NA
"Peterborough"	2019	"Blue Jay"	197	NA
