"Location"|"Year"|"Common_Name"|"Count"|"Flags"
"Guelph"|2022|"American Black Duck"|66|NA
"Guelph"|2022|"American Crow"|424|NA
"Guelph"|2022|"American Kestrel"|1|NA
"Guelph"|2022|"American Robin"|366|NA
"Guelph"|2022|"American Wigeon"|2|NA
"Guelph"|2022|"Bald Eagle"|13|NA
"Guelph"|2022|"Belted Kingfisher"|15|"HC"
"Guelph"|2022|"Blue Jay"|142|NA
"Guelph"|2022|"Bohemian Waxwing"|2|NA
"Guelph"|2022|"Brown Creeper"|10|NA
"Guelph"|2022|"Bufflehead"|1|NA
"Guelph"|2022|"Canada Goose"|4906|NA
"Guelph"|2022|"Carolina Wren"|1|NA
"Guelph"|2022|"Cedar Waxwing"|175|NA
"Guelph"|2022|"Common Goldeneye"|8|NA
"Guelph"|2022|"Common Merganser"|57|NA
"Guelph"|2022|"Common Raven"|58|"HC"
"Guelph"|2022|"Cooper's Hawk"|8|NA
"Guelph"|2022|"Dark-eyed Junco"|450|NA
"Guelph"|2022|"Downy Woodpecker"|63|NA
"Guelph"|2022|"Eastern Bluebird"|10|NA
"Guelph"|2022|"Eastern Screech-Owl"|10|NA
"Guelph"|2022|"European Starling"|1770|NA
"Guelph"|2022|"Evening Grosbeak"|39|"HC"
"Guelph"|2022|"Golden-crowned Kinglet"|44|NA
"Guelph"|2022|"Greater White-fronted Goose"|2|"US, HC"
"Guelph"|2022|"Green-winged Teal"|2|NA
"Guelph"|2022|"Hairy Woodpecker"|45|NA
"Guelph"|2022|"Hermit Thrush"|3|"HC"
"Guelph"|2022|"Herring Gull"|128|NA
"Guelph"|2022|"Hooded Merganser"|7|NA
"Guelph"|2022|"House Sparrow"|80|NA
"Guelph"|2022|"Iceland Gull"|1|NA
"Guelph"|2022|"Mallard"|1510|NA
"Guelph"|2022|"Mourning Dove"|405|NA
"Guelph"|2022|"Mute Swan"|2|NA
"Guelph"|2022|"Northern Cardinal"|135|NA
"Guelph"|2022|"Northern Flicker"|1|NA
"Guelph"|2022|"Northern Harrier"|3|NA
"Guelph"|2022|"Northern Shrike"|1|NA
"Guelph"|2022|"Peregrine Falcon"|1|NA
"Guelph"|2022|"Pileated Woodpecker"|9|NA
"Guelph"|2022|"Red-bellied Woodpecker"|22|NA
"Guelph"|2022|"Red-breasted Nuthatch"|39|NA
"Guelph"|2022|"Red-tailed Hawk"|26|NA
"Guelph"|2022|"Ring-billed Gull"|149|NA
"Guelph"|2022|"Ruffed Grouse"|2|NA
"Guelph"|2022|"Sharp-shinned Hawk"|1|NA
"Guelph"|2022|"Snow Bunting"|55|NA
"Guelph"|2022|"Song Sparrow"|3|NA
"Guelph"|2022|"Swamp Sparrow"|3|NA
"Guelph"|2022|"Trumpeter Swan"|49|"HC"
"Guelph"|2022|"White-breasted Nuthatch"|61|NA
"Guelph"|2022|"White-crowned Sparrow"|6|NA
"Guelph"|2022|"White-throated Sparrow"|3|NA
"Guelph"|2022|"Wild Turkey"|125|NA
"Kingston"|2022|"American Black Duck"|480|NA
"Kingston"|2022|"American Coot"|14|"LC"
"Kingston"|2022|"American Crow"|609|NA
"Kingston"|2022|"American Kestrel"|9|NA
"Kingston"|2022|"American Robin"|105|NA
"Kingston"|2022|"American Wigeon"|55|NA
"Kingston"|2022|"Bald Eagle"|23|NA
"Kingston"|2022|"Baltimore Oriole"|1|"US"
"Kingston"|2022|"Barred Owl"|4|NA
"Kingston"|2022|"Belted Kingfisher"|2|NA
"Kingston"|2022|"Blue Jay"|337|NA
"Kingston"|2022|"Brown Creeper"|8|NA
"Kingston"|2022|"Brown Thrasher"|1|"US"
"Kingston"|2022|"Bufflehead"|154|NA
"Kingston"|2022|"Canada Goose"|15153|NA
"Kingston"|2022|"Carolina Wren"|2|"US"
"Kingston"|2022|"Common Goldeneye"|633|NA
"Kingston"|2022|"Common Grackle"|1|"US"
"Kingston"|2022|"Common Loon"|2|NA
"Kingston"|2022|"Common Merganser"|491|"LC"
"Kingston"|2022|"Common Raven"|34|"HC"
"Kingston"|2022|"Cooper's Hawk"|6|NA
"Kingston"|2022|"Double-crested Cormorant"|4|NA
"Kingston"|2022|"Downy Woodpecker"|137|"HC"
"Kingston"|2022|"Eastern Bluebird"|4|NA
"Kingston"|2022|"Eastern Screech-Owl"|4|NA
"Kingston"|2022|"European Starling"|1693|NA
"Kingston"|2022|"Gadwall"|151|NA
"Kingston"|2022|"Golden-crowned Kinglet"|15|NA
"Kingston"|2022|"Great Black-backed Gull"|8|NA
