"Canada Goose","Common Goldeneye","Common Merganser","Downy Woodpecker","European Starling"
6343,11,63,57,1062
3461,9,32,62,1661
3831,12,310,93,1659
4906,8,57,63,1770
12,48,12,25,321
93,21,8,32,488
93,21,8,32,488
13,6,2,15,224
9674,213,198,83,2459
7815,386,290,94,3302
7728,589,790,125,7952
15153,633,491,137,1693
4550,23,97,173,896
5187,51,81,261,4338
3407,11,69,237,1384
5001,13,127,253,2552
53,124,31,60,2053
1505,135,2,114,2304
2017,88,149,129,6485
694,106,39,135,4194
1643,915,152,177,12664
1229,1092,164,269,2703
4181,856,71,260,1600
3149,946,93,323,2732
